NPI|NDC|Units|UnitCost
0000000009|00000001640|1931|134.28
0000000007|00000002026|1488|71.57
0000000003|00000004556|34|395.54
0000000003|00000002833|1746|261.84
0000000001|00000003629|1407|242.24
0000000004|00000000613|1041|363.59
0000000005|00000002215|212|218.71
0000000003|00000000669|2348|408.16
0000000010|00000002631|534|467.06
0000000005|00000001481|211|437.26
0000000004|00000003823|2457|426.01
0000000008|00000004752|1994|133.29
0000000010|00000000814|1786|286.70
0000000004|00000004564|2023|347.55
0000000007|00000003652|748|124.86
0000000009|00000003941|215|435.50
0000000008|00000004067|2575|76.80
0000000006|00000001525|1662|421.75
0000000008|00000003264|2553|260.91
0000000001|00000004651|1081|263.88
0000000005|00000000872|802|268.94
0000000008|00000003545|1488|234.41
0000000007|00000003992|718|64.05
0000000006|00000000013|2423|383.49
0000000007|00000003972|529|256.76
0000000007|00000004953|2715|415.43
0000000009|00000003391|735|444.66
0000000006|00000000721|1757|485.42
0000000003|00000002092|2491|33.91
0000000009|00000002982|615|411.87
0000000010|00000004344|409|208.60
0000000005|00000001309|1609|381.69
0000000007|00000003199|2485|421.22
0000000002|00000004835|2707|30.27
0000000001|00000003061|312|193.85
0000000009|00000001505|1853|477.88
0000000005|00000002174|73|62.71
0000000005|00000000878|2783|345.86
0000000001|00000001953|530|337.79
0000000006|00000004988|269|22.17
0000000007|00000002235|2414|494.30
0000000005|00000002392|299|346.58
0000000005|00000000283|935|368.30
0000000009|00000000447|2766|298.62
0000000004|00000000599|161|407.47
0000000008|00000000124|1221|109.24
0000000006|00000003267|1139|374.28
0000000006|00000002484|2594|213.40
0000000009|00000003704|700|273.07
0000000005|00000004321|1870|95.23
0000000004|00000004678|1774|419.03
0000000009|00000000622|1970|437.47
0000000008|00000003263|2162|88.97
0000000006|00000000750|1309|380.59
0000000008|00000001416|1206|145.02
0000000002|00000004524|2939|237.00
0000000003|00000000463|746|335.65
0000000008|00000000056|2515|228.54
0000000004|00000003568|872|220.17
0000000003|00000002743|1262|412.81
0000000002|00000004870|2180|471.71
0000000007|00000000714|446|334.50
0000000001|00000002574|1053|6.10
0000000004|00000002025|2694|236.21
0000000008|00000001432|1705|326.88
0000000005|00000004700|62|176.40
0000000008|00000003658|1238|414.19
0000000005|00000002373|1887|194.21
0000000004|00000003597|1188|77.76
0000000009|00000004181|1647|495.71
0000000003|00000001725|1353|326.98
0000000003|00000004814|1541|420.45
0000000001|00000003093|322|453.88
0000000003|00000000274|717|475.06
0000000006|00000002000|519|423.19
0000000005|00000002830|19|366.21
0000000002|00000000679|2724|205.10
0000000010|00000000970|640|161.98
0000000009|00000003842|231|264.82
0000000008|00000004510|273|482.50
0000000008|00000000541|76|179.53
0000000007|00000003414|2016|32.46
0000000001|00000001045|1458|32.36
0000000007|00000003934|2734|461.60
0000000010|00000000144|1523|91.85
0000000004|00000000581|1299|233.06
0000000002|00000003129|1961|199.70
0000000005|00000002866|1602|325.58
0000000002|00000001017|2974|123.77
0000000007|00000000505|1329|223.31
0000000003|00000000542|1573|13.21
0000000001|00000004000|2407|111.85
0000000002|00000002715|1510|255.37
0000000007|00000000729|1820|265.16
0000000007|00000004911|2921|503.30
0000000007|00000002706|83|357.97
0000000005|00000002642|2215|223.55
0000000004|00000002107|1300|250.65
0000000001|00000002967|2699|345.35
0000000002|00000000221|2666|26.56
0000000001|00000002136|1504|198.50
0000000001|00000001272|1506|357.65
0000000010|00000001447|861|469.78
0000000006|00000001706|2281|28.58
0000000003|00000001121|2266|285.25
0000000007|00000003489|282|486.93
0000000003|00000001937|569|108.18
0000000007|00000002553|743|397.95
0000000008|00000002659|1131|189.40
0000000006|00000004550|2649|306.93
0000000005|00000004533|2892|363.98
0000000005|00000004757|148|241.07
0000000005|00000004364|540|479.80
0000000010|00000002310|324|493.99
0000000001|00000001740|2089|344.09
0000000007|00000003116|190|407.78
0000000003|00000000694|857|354.54
0000000005|00000001038|2476|131.92
0000000004|00000001767|952|67.57
0000000004|00000000983|712|207.02
0000000004|00000001554|405|403.23
0000000007|00000003819|104|257.01
0000000002|00000002937|1592|9.76
0000000002|00000002311|235|74.81
0000000005|00000002403|568|345.32
0000000006|00000000397|2374|414.89
0000000004|00000004586|1921|117.11
0000000007|00000003067|25|141.36
0000000006|00000004053|1992|476.31
0000000009|00000001060|1165|491.41
0000000007|00000004480|182|157.31
0000000007|00000003600|2527|19.20
0000000007|00000002340|835|382.40
0000000001|00000004650|1739|378.50
0000000002|00000002445|2379|69.06
0000000007|00000004218|1937|228.01
0000000007|00000002119|1582|21.05
0000000010|00000001213|930|380.72
0000000009|00000000332|2610|18.23
0000000001|00000001183|2133|349.87
0000000008|00000001036|1879|69.32
0000000006|00000004277|2154|479.58
0000000007|00000004477|1490|417.39
0000000002|00000001594|987|35.23
0000000008|00000002616|312|112.66
0000000007|00000001178|2867|14.13
0000000005|00000000373|2883|435.61
0000000003|00000002181|190|380.20
0000000008|00000001230|210|125.19
0000000008|00000000612|2842|88.38
0000000003|00000003204|205|468.83
0000000003|00000002855|2378|20.33
0000000004|00000004002|583|495.50
0000000001|00000004060|13|387.99
0000000003|00000001322|260|46.11
0000000008|00000001565|1710|379.95
0000000008|00000003260|678|286.52
0000000004|00000003306|2468|118.70
0000000010|00000001495|2368|218.26
0000000010|00000000494|106|358.33
0000000009|00000000782|2999|89.22
0000000004|00000000208|2200|439.40
0000000010|00000002113|2586|248.24
0000000006|00000000910|572|496.76
0000000006|00000001509|118|31.18
0000000008|00000003939|686|365.66
0000000005|00000000588|1863|127.83
0000000006|00000000683|1560|6.71
0000000010|00000003171|1868|84.50
0000000008|00000002165|1497|297.20
0000000010|00000002792|2287|475.79
0000000006|00000003693|2273|290.28
0000000005|00000002871|2993|251.36
0000000004|00000001069|1826|485.32
0000000008|00000002800|2311|304.31
0000000003|00000003385|1278|503.10
0000000010|00000004226|218|100.59
0000000005|00000001142|1334|266.94
0000000007|00000002988|1171|244.82
0000000002|00000000095|679|60.23
0000000010|00000000225|1485|186.44
0000000004|00000004398|2889|145.70
0000000009|00000001820|1612|120.41
0000000001|00000000043|2728|11.20
0000000007|00000000415|2878|379.86
0000000005|00000001062|483|103.34
0000000002|00000004915|1860|218.26
0000000001|00000002348|521|163.85
0000000001|00000004740|1249|390.76
0000000009|00000000555|2953|61.89
0000000010|00000000569|2516|91.63
0000000010|00000000679|1203|236.47
0000000004|00000000854|517|272.69
0000000005|00000002679|620|272.69
0000000007|00000004085|1070|220.49
0000000009|00000004480|2280|37.65
0000000008|00000000698|1641|442.51
0000000002|00000002428|1526|216.59
0000000004|00000000922|1872|210.07
0000000003|00000003864|1172|65.48
0000000008|00000002456|2539|467.52
0000000006|00000001071|2061|65.28
0000000004|00000000103|703|385.02
0000000009|00000000330|1343|228.77
0000000007|00000001221|1298|488.58
0000000010|00000000274|2718|103.24
0000000010|00000003772|1082|333.13
0000000006|00000000158|1405|223.72
0000000004|00000004115|1984|169.96
0000000003|00000002797|2403|395.82
0000000006|00000003911|1503|185.22
0000000009|00000003592|1838|339.71
0000000009|00000002794|460|267.88
0000000010|00000000828|540|54.50
0000000002|00000000593|135|43.02
0000000008|00000002460|984|363.99
0000000010|00000001107|2931|19.94
0000000004|00000003175|2259|193.93
0000000003|00000000985|1979|17.93
0000000005|00000003636|2479|92.32
0000000010|00000003067|2042|328.49
0000000007|00000002718|1430|470.89
0000000002|00000002543|515|151.71
0000000007|00000003145|1878|108.76
0000000006|00000002220|1202|149.23
0000000001|00000000542|2433|313.10
0000000006|00000004330|2517|416.95
0000000002|00000000060|2849|378.99
0000000008|00000000466|368|481.47
0000000006|00000000868|1559|168.55
0000000008|00000004199|966|254.53
0000000007|00000001663|2284|289.24
0000000003|00000000855|2547|83.12
0000000009|00000003344|2059|180.45
0000000010|00000003146|447|429.33
0000000010|00000004202|1610|271.15
0000000006|00000000817|2772|425.91
0000000003|00000001187|2742|268.49
0000000006|00000002227|1872|29.62
0000000007|00000001300|2650|58.22
0000000006|00000004140|2338|44.45
0000000004|00000001981|328|227.39
0000000001|00000002421|1903|81.28
0000000005|00000003093|2788|312.75
0000000006|00000001879|2679|491.79
0000000006|00000003815|701|496.51
0000000002|00000002355|2724|203.89
0000000008|00000004279|2881|117.56
0000000002|00000000289|252|406.54
0000000009|00000000250|2825|282.44
0000000008|00000004403|900|136.38
0000000002|00000002914|2603|149.98
0000000002|00000002529|1050|497.36
0000000010|00000000050|708|329.79
0000000007|00000003668|256|440.64
0000000010|00000000841|396|133.72
0000000003|00000004409|18|79.58
0000000009|00000000185|1404|280.14
0000000008|00000004728|367|301.58
0000000003|00000002278|915|440.99
0000000007|00000002276|2121|25.16
0000000001|00000002841|2904|144.45
0000000006|00000003601|390|91.24
0000000008|00000004327|94|428.93
0000000010|00000001909|363|433.13
0000000010|00000004815|1790|182.86
0000000010|00000001423|2603|204.72
0000000004|00000002119|1019|65.76
0000000001|00000003947|2552|337.67
0000000006|00000004501|1094|470.47
0000000004|00000001527|1702|194.18
0000000006|00000000159|1719|87.07
0000000006|00000002486|1018|443.10
0000000008|00000003575|2176|223.48
0000000001|00000000893|587|58.76
0000000010|00000002726|1131|270.25
0000000010|00000000872|2116|359.22
0000000008|00000001609|833|424.72
0000000007|00000004266|1104|319.12
0000000009|00000001427|2596|144.59
0000000005|00000001489|1068|338.27
0000000010|00000004979|1127|281.76
0000000009|00000000969|80|133.69
0000000010|00000000199|903|76.14
0000000006|00000002551|2597|241.90
0000000007|00000001408|2137|334.64
0000000004|00000002272|784|149.81
0000000008|00000003973|570|107.57
0000000009|00000001137|2463|241.95
0000000006|00000002282|1408|189.64
0000000009|00000000170|2356|415.05
0000000009|00000000836|1960|267.22
0000000005|00000004422|1264|344.39
0000000001|00000000614|110|493.30
0000000004|00000003068|2035|170.44
0000000009|00000002705|430|504.79
0000000002|00000000524|2083|62.26
0000000009|00000003836|2816|336.26
0000000005|00000002671|1403|107.78
0000000008|00000004796|2647|420.89
0000000006|00000003446|576|130.89
0000000009|00000001028|1379|111.30
0000000006|00000004229|1869|150.52
0000000004|00000002957|2314|117.32
0000000010|00000000104|2525|260.86
0000000010|00000000323|154|343.90
0000000004|00000001722|2374|53.61
0000000009|00000004322|2289|50.52
0000000001|00000000758|870|362.19
0000000002|00000000872|2093|481.84
0000000005|00000000888|2002|82.10
0000000001|00000002915|482|346.69
0000000002|00000004530|2568|379.57
0000000010|00000003364|80|466.51
0000000001|00000002125|2852|53.59
0000000003|00000001998|2818|213.20
0000000005|00000002665|927|50.45
0000000004|00000000424|142|219.45
0000000010|00000004861|1854|89.94
0000000004|00000000018|262|467.59
0000000008|00000000010|2385|450.34
0000000008|00000001669|2061|472.80
0000000003|00000004572|1118|373.20
0000000001|00000000725|2447|174.63
0000000007|00000000064|2133|384.28
0000000006|00000004158|2755|276.32
0000000010|00000002597|866|389.30
0000000010|00000003832|45|264.75
0000000003|00000000608|2458|396.32
0000000001|00000000210|376|77.14
0000000010|00000004946|1599|315.94
0000000004|00000001397|1159|342.25
0000000003|00000003269|2978|406.21
0000000007|00000002469|2643|193.16
0000000008|00000001103|2400|285.90
0000000009|00000004660|2903|443.40
0000000009|00000000796|1442|204.28
0000000005|00000001848|1572|183.79
0000000004|00000004717|1046|503.13
0000000007|00000000066|1312|297.85
0000000005|00000001949|34|211.07
0000000009|00000001112|2723|16.91
0000000004|00000004739|1094|467.83
0000000009|00000001004|2048|208.88
0000000008|00000000338|1971|112.64
0000000006|00000003847|416|83.71
0000000005|00000002840|533|31.20
0000000006|00000000219|2964|436.16
0000000009|00000000081|1426|326.93
0000000001|00000002219|821|226.69
0000000009|00000004232|1657|399.24
0000000007|00000001315|26|54.59
0000000007|00000000972|2515|306.54
0000000010|00000000029|1823|404.02
0000000008|00000001681|2324|438.40
0000000009|00000001164|777|142.58
0000000003|00000001092|1595|154.47
0000000006|00000001749|1040|421.95
0000000005|00000003322|1539|464.84
0000000003|00000002408|2655|449.65
0000000009|00000002333|2802|209.45
0000000004|00000003509|1804|57.49
0000000010|00000003421|2424|37.36
0000000008|00000000758|871|155.03
0000000010|00000003746|949|289.94
0000000009|00000000215|697|111.79
0000000006|00000004350|523|113.20
0000000010|00000004298|1866|376.05
0000000005|00000000394|1087|107.77
0000000010|00000002592|2369|252.89
0000000004|00000002887|1717|481.65
0000000004|00000000767|2008|341.87
0000000002|00000002082|79|91.54
0000000009|00000002644|2146|230.58
0000000002|00000004662|1412|125.63
0000000003|00000000808|2621|20.23
0000000003|00000002636|316|145.33
0000000001|00000004861|497|360.35
0000000010|00000001280|2739|160.96
0000000004|00000004224|2459|124.66
0000000006|00000001461|1416|14.07
0000000008|00000000416|1600|364.03
0000000001|00000001471|2521|328.50
0000000005|00000002199|701|234.55
0000000007|00000001982|474|80.62
0000000001|00000001996|436|249.20
0000000009|00000001086|2071|347.24
0000000003|00000004368|1420|208.29
0000000001|00000003991|122|383.13
0000000007|00000000184|2167|108.24
0000000010|00000000115|2587|126.66
0000000010|00000001410|1924|473.65
0000000004|00000003154|1956|21.68
0000000001|00000000335|1996|471.15
0000000005|00000001351|2723|382.41
0000000002|00000000749|497|342.20
0000000008|00000001608|2173|395.81
0000000009|00000002688|1061|35.10
0000000010|00000004506|312|404.86
0000000005|00000003572|1602|76.42
0000000002|00000000341|320|190.66
0000000009|00000002498|996|263.39
0000000007|00000004364|2932|251.71
0000000006|00000003960|2374|166.35
0000000005|00000004737|421|408.90
0000000008|00000000859|603|283.19
0000000006|00000001376|548|74.00
0000000006|00000004028|298|148.84
0000000002|00000001761|635|278.99
0000000001|00000004626|224|284.43
0000000008|00000000973|107|292.73
0000000002|00000002437|2840|99.15
0000000004|00000002562|887|471.37
0000000001|00000000762|2668|111.63
0000000003|00000004080|2511|61.56
0000000004|00000002278|2667|171.59
0000000008|00000003724|1402|466.94
0000000008|00000003281|2262|121.43
0000000008|00000000435|1010|387.97
0000000004|00000001934|664|154.45
0000000004|00000002928|1040|37.80
0000000005|00000002805|2739|482.61
0000000004|00000004392|2290|132.21
0000000008|00000003955|1053|448.50
0000000008|00000001596|1874|192.27
0000000008|00000004481|1701|306.71
0000000002|00000002436|1532|308.71
0000000004|00000003294|982|145.85
0000000001|00000004131|26|309.95
0000000004|00000004752|706|42.23
0000000001|00000003438|2909|276.26
0000000007|00000000603|10|466.94
0000000002|00000002795|464|361.07
0000000003|00000003698|1531|332.14
0000000002|00000000776|2966|422.98
0000000008|00000003016|1841|297.83
0000000005|00000005000|645|382.23
0000000005|00000003967|2837|62.77
0000000004|00000000166|1714|21.49
0000000009|00000002311|2780|315.61
0000000007|00000002207|830|234.17
0000000005|00000002755|1264|151.28
0000000002|00000001095|1794|154.80
0000000005|00000001145|959|432.14
0000000009|00000001694|92|367.49
0000000004|00000004882|2815|495.51
0000000001|00000004525|2068|199.76
0000000003|00000001779|1453|451.82
0000000008|00000003434|673|233.31
0000000003|00000002122|2822|121.81
0000000003|00000000136|653|288.57
0000000008|00000000803|2901|12.93
0000000006|00000000370|429|452.73
0000000010|00000004270|2240|462.36
0000000005|00000002158|2882|123.67
0000000008|00000003494|337|401.28
0000000007|00000004904|1470|191.87
0000000007|00000003094|2436|487.11
0000000006|00000001868|2420|50.11
0000000002|00000004125|672|365.21
0000000008|00000001437|489|366.13
0000000005|00000000860|156|175.62
0000000003|00000000071|1413|348.72
0000000006|00000000595|1830|420.99
0000000007|00000003071|1999|202.29
0000000010|00000002428|2577|419.16
0000000009|00000001954|1893|60.91
0000000009|00000003979|1570|243.55
0000000002|00000003232|1329|170.56
0000000006|00000002111|821|474.97
0000000002|00000002336|2697|89.07
0000000009|00000000798|1914|403.86
0000000007|00000001077|2574|35.13
0000000004|00000003920|1699|322.45
0000000004|00000000784|1985|444.89
0000000010|00000003428|58|77.82
0000000010|00000004626|1907|478.81
0000000002|00000003576|150|301.49
0000000004|00000000325|2502|324.83
0000000007|00000003930|200|103.70
0000000001|00000002846|1600|360.55
0000000007|00000003701|2732|19.15
0000000005|00000002030|1426|5.58
0000000008|00000003352|2969|37.35
0000000002|00000001555|839|435.78
0000000001|00000001710|301|216.81
0000000001|00000003456|1084|323.99
0000000008|00000000495|1687|429.46
0000000001|00000000086|912|406.97
0000000002|00000003013|809|68.25
0000000010|00000004121|1323|254.80
0000000010|00000000902|1657|69.26
0000000010|00000001992|2633|59.28
0000000007|00000004732|2918|85.18
0000000005|00000001437|1481|35.27
0000000003|00000000431|395|282.17
0000000006|00000003964|1943|320.60
0000000006|00000003740|2473|357.67
0000000009|00000000742|2265|490.43
0000000010|00000001489|265|308.40
0000000007|00000001166|1316|107.78
0000000001|00000000561|950|279.27
0000000007|00000003054|118|368.68
0000000006|00000004076|1285|116.20
0000000007|00000004594|204|199.39
0000000004|00000003805|137|39.36
0000000004|00000003614|140|91.20
0000000002|00000002008|1139|316.04
0000000009|00000000078|797|313.29
0000000006|00000002326|2634|403.62
0000000006|00000001946|919|399.64
0000000004|00000003394|2678|272.02
0000000007|00000004706|215|93.49
0000000006|00000000230|2889|51.12
0000000007|00000004207|135|114.60
0000000008|00000002181|2611|383.24
0000000008|00000003067|245|359.68
0000000008|00000002263|221|25.89
0000000006|00000002142|2924|34.40
0000000010|00000001326|1138|30.60
0000000008|00000004114|2312|85.69
0000000002|00000004122|1726|66.07
0000000005|00000000007|2439|92.59
0000000004|00000004737|1568|492.03
0000000009|00000004904|1267|172.45
0000000007|00000004105|259|202.63
0000000009|00000004366|766|121.34
0000000008|00000003619|202|464.10
0000000005|00000001297|1113|351.21
0000000006|00000004868|1740|101.15
0000000010|00000000701|2927|33.57
0000000001|00000003423|1385|284.50
0000000010|00000003343|31|403.72
0000000001|00000001308|1062|281.09
0000000009|00000002971|541|151.44
0000000001|00000004418|215|151.59
0000000008|00000002777|2526|164.93
0000000007|00000003129|2056|377.96
0000000010|00000001471|1138|80.75
0000000010|00000000426|2297|353.17
0000000003|00000001598|447|267.86
0000000007|00000001099|917|60.40
0000000007|00000001371|836|12.94
0000000003|00000001856|1057|127.55
0000000005|00000002415|2368|361.57
0000000001|00000001198|2254|100.36
0000000007|00000004280|1409|259.08
0000000005|00000002401|1697|32.33
0000000009|00000001717|622|150.04
0000000001|00000000042|972|46.15
0000000009|00000004424|1360|127.24
0000000005|00000002711|2576|442.40
0000000007|00000004548|953|401.53
0000000008|00000004704|2672|319.08
0000000007|00000004725|2646|153.04
0000000007|00000004426|2976|296.79
0000000003|00000002686|2146|54.12
0000000001|00000002144|80|482.24
0000000010|00000002090|1002|366.40
0000000009|00000003796|1018|451.34
0000000008|00000004019|652|81.02
0000000005|00000002490|1865|223.92
0000000008|00000000881|225|381.67
0000000008|00000001542|835|221.68
0000000010|00000000105|1340|290.78
0000000007|00000003519|2738|42.17
0000000008|00000004383|1666|76.64
0000000003|00000003883|1084|150.45
0000000009|00000002653|1031|154.08
0000000003|00000003738|222|65.06
0000000002|00000004113|1573|280.70
0000000008|00000003659|1934|337.31
0000000001|00000000574|1419|190.24
0000000007|00000003727|2718|325.15
0000000003|00000002389|1280|379.25
0000000007|00000003700|1438|196.51
0000000003|00000000785|156|215.60
0000000004|00000001916|2660|397.07
0000000006|00000004607|1618|433.07
0000000006|00000003287|2629|144.04
0000000007|00000000217|2922|5.48
0000000008|00000003340|661|381.93
0000000007|00000000745|2155|405.93
0000000003|00000004495|2413|224.93
0000000008|00000002346|1426|329.68
0000000005|00000002186|1295|472.27
0000000003|00000004758|952|437.16
0000000001|00000003768|789|15.96
0000000010|00000003712|1574|323.84
0000000007|00000004478|2958|57.75
0000000002|00000000610|18|470.86
0000000007|00000004028|2134|108.13
0000000008|00000002591|1917|385.38
0000000005|00000002872|1261|128.91
0000000010|00000004937|2833|210.66
0000000004|00000000363|739|58.84
0000000010|00000002746|956|284.54
0000000006|00000002324|673|360.50
0000000002|00000003922|2802|352.83
0000000003|00000002940|344|371.28
0000000007|00000001250|295|265.74
0000000004|00000000434|1834|239.75
0000000002|00000004708|2590|365.01
0000000006|00000001155|1643|344.13
0000000006|00000000366|1001|426.44
0000000009|00000004576|2152|295.13
0000000002|00000001711|1897|374.84
0000000001|00000001467|2035|395.77
0000000001|00000002652|1980|393.67
0000000006|00000002146|2654|165.99
0000000004|00000004531|414|171.59
0000000003|00000004313|1251|196.37
0000000001|00000001425|579|390.47
0000000009|00000001763|930|450.27
0000000005|00000002120|614|113.38
0000000010|00000004203|2669|246.11
0000000005|00000003651|2095|110.79
0000000004|00000004501|2417|471.39
0000000008|00000001342|1490|106.68
0000000004|00000000211|653|339.66
0000000001|00000000726|226|229.61
0000000004|00000004805|143|294.75
0000000001|00000004269|853|112.66
0000000002|00000000385|1830|351.79
0000000008|00000004352|469|189.23
0000000003|00000001609|1057|232.68
0000000004|00000004088|105|98.12
0000000003|00000003082|507|171.12
0000000008|00000004614|761|465.12
0000000005|00000001439|1334|492.80
0000000004|00000001106|2181|122.42
0000000010|00000003977|1041|83.58
0000000005|00000003657|2604|307.65
0000000005|00000001794|1907|49.20
0000000008|00000003364|1092|329.58
0000000001|00000000135|2390|77.16
0000000006|00000002637|1146|416.25
0000000002|00000003824|334|25.03
0000000007|00000000740|1231|444.37
0000000010|00000002982|2540|20.32
0000000007|00000002581|532|87.58
0000000002|00000004479|274|219.80
0000000006|00000003499|1349|7.69
0000000004|00000000268|2769|268.44
0000000005|00000002219|1777|407.46
0000000002|00000003945|2508|233.47
0000000009|00000003263|1294|36.44
0000000010|00000003546|1262|312.79
0000000001|00000004459|535|473.36
0000000008|00000004445|1169|15.81
0000000006|00000001630|2915|234.19
0000000004|00000001818|2400|141.25
0000000002|00000002306|1292|178.63
0000000008|00000004928|1349|234.40
0000000005|00000002667|892|173.04
0000000002|00000001010|1692|10.30
0000000010|00000000125|1557|378.07
0000000003|00000001361|1694|340.31
0000000008|00000004598|59|271.65
0000000010|00000000655|2425|406.80
0000000002|00000001506|523|401.20
0000000001|00000004230|1390|207.68
0000000004|00000000376|1910|495.81
0000000006|00000002805|2572|66.81
0000000005|00000000756|1662|11.59
0000000008|00000002235|2|231.32
0000000010|00000001028|2462|122.57
0000000002|00000001407|210|220.00
0000000004|00000002267|2371|249.34
0000000003|00000001137|1624|55.35
0000000006|00000000807|1392|446.08
0000000009|00000000143|1494|358.69
0000000004|00000001112|1603|197.36
0000000008|00000004414|2850|412.59
0000000001|00000004373|1482|408.84
0000000006|00000000855|686|181.81
0000000003|00000004577|2791|33.98
0000000008|00000000949|101|288.37
0000000007|00000002019|2035|38.57
0000000007|00000002953|278|336.61
0000000004|00000002169|1217|273.49
0000000007|00000001892|2843|166.38
0000000004|00000001510|164|440.52
0000000009|00000002000|2453|65.10
0000000005|00000002443|654|153.05
0000000003|00000003743|544|240.46
0000000004|00000001383|2075|220.11
0000000009|00000002996|638|414.82
0000000003|00000003867|2736|398.74
0000000005|00000002815|706|433.58
0000000003|00000001874|2947|49.24
0000000009|00000004430|88|442.82
0000000008|00000003215|2419|113.02
0000000003|00000000312|2810|235.28
0000000003|00000002137|2861|287.76
0000000006|00000003782|2047|362.02
0000000005|00000001056|765|372.41
0000000007|00000000962|1730|296.10
0000000006|00000004615|1388|122.80
0000000010|00000001875|1230|205.50
0000000007|00000000647|1818|224.48
0000000008|00000004924|2567|447.69
0000000002|00000001552|2606|143.04
0000000002|00000002844|2607|484.06
0000000002|00000002407|440|429.93
0000000001|00000000812|298|155.01
0000000003|00000000549|491|267.74
0000000005|00000004523|1583|76.00
0000000003|00000004776|310|119.76
0000000007|00000002450|550|241.97
0000000003|00000001489|1690|276.80
0000000008|00000003885|580|394.80
0000000004|00000003118|951|418.27
0000000010|00000000243|2677|198.06
0000000005|00000004426|432|14.14
0000000010|00000002760|2584|220.03
0000000008|00000001239|91|186.62
0000000001|00000001756|2499|128.20
0000000007|00000003401|1931|44.17
0000000010|00000002288|7|381.23
0000000001|00000003861|1741|347.72
0000000006|00000004117|402|157.91
0000000009|00000004992|141|396.24
0000000004|00000001202|1637|140.67
0000000004|00000001409|262|196.85
0000000001|00000003321|1644|125.89
0000000006|00000003324|2704|81.56
0000000001|00000004112|868|370.10
0000000004|00000004304|867|279.98
0000000008|00000001231|518|161.12
0000000001|00000003156|1969|9.96
0000000004|00000004671|2310|407.08
0000000003|00000002224|1986|496.57
0000000007|00000002544|1386|148.71
0000000002|00000003079|2208|283.10
0000000003|00000003236|519|232.21
0000000002|00000004864|2569|344.42
0000000004|00000003012|2074|427.37
0000000001|00000004213|351|389.22
0000000010|00000003305|1106|84.33
0000000010|00000002116|1198|191.49
0000000006|00000002084|1315|220.43
0000000007|00000003807|1233|393.90
0000000010|00000004336|967|124.72
0000000009|00000002217|1589|418.64
0000000004|00000001933|966|281.41
0000000007|00000004083|19|362.65
0000000007|00000001044|1690|163.18
0000000007|00000004841|505|487.58
0000000010|00000002571|221|151.54
0000000007|00000002348|338|36.36
0000000009|00000003881|47|153.76
0000000001|00000002434|962|386.00
0000000007|00000003318|219|271.95
0000000009|00000001667|398|402.59
0000000009|00000001023|1228|186.19
0000000007|00000002254|977|140.15
0000000005|00000001311|625|142.20
0000000010|00000000491|1205|129.40
0000000010|00000004053|1036|213.50
0000000006|00000000292|1585|158.08
0000000008|00000001616|2605|347.88
0000000010|00000003462|550|250.17
0000000007|00000003908|582|408.01
0000000009|00000001899|443|7.00
0000000009|00000000567|2460|337.14
0000000005|00000003905|1143|257.70
0000000004|00000001300|1978|61.14
0000000009|00000003962|1655|340.59
0000000002|00000000607|1479|13.44
0000000007|00000002023|758|307.25
0000000007|00000000433|2880|275.52
0000000003|00000002099|1470|216.95
0000000004|00000001903|822|70.83
0000000005|00000004225|1986|35.43
0000000008|00000001417|801|295.89
0000000009|00000004255|46|487.17
0000000005|00000003107|1613|340.27
0000000007|00000004488|684|109.37
0000000007|00000004754|1397|320.95
